comb	type	rep	diversification[2]_mean	diversification[2]_stdev	diversification[2]_low95	diversification[2]_median	diversification[2]_high95	diversification[3]_mean	diversification[3]_stdev	diversification[3]_low95	diversification[3]_median	diversification[3]_high95	diversification[4]_mean	diversification[4]_stdev	diversification[4]_low95	diversification[4]_median	diversification[4]_high95	lambda[1]_mean	lambda[1]_stdev	lambda[1]_low95	lambda[1]_median	lambda[1]_high95	lambda[2]_mean	lambda[2]_stdev	lambda[2]_low95	lambda[2]_median	lambda[2]_high95	lambda[3]_mean	lambda[3]_stdev	lambda[3]_low95	lambda[3]_median	lambda[3]_high95	lambda[4]_mean	lambda[4]_stdev	lambda[4]_low95	lambda[4]_median	lambda[4]_high95	me_age_mean	me_age_stdev	me_age_low95	me_age_median	me_age_high95	me_dur_mean	me_dur_stdev	me_dur_low95	me_dur_median	me_dur_high95	mu[1]_mean	mu[1]_stdev	mu[1]_low95	mu[1]_median	mu[1]_high95	mu[2]_mean	mu[2]_stdev	mu[2]_low95	mu[2]_median	mu[2]_high95	mu[3]_mean	mu[3]_stdev	mu[3]_low95	mu[3]_median	mu[3]_high95	mu[4]_mean	mu[4]_stdev	mu[4]_low95	mu[4]_median	mu[4]_high95	rate_shifts[1]_mean	rate_shifts[1]_stdev	rate_shifts[1]_low95	rate_shifts[1]_median	rate_shifts[1]_high95	rate_shifts[2]_mean	rate_shifts[2]_stdev	rate_shifts[2]_low95	rate_shifts[2]_median	rate_shifts[2]_high95	rate_shifts[3]_mean	rate_shifts[3]_stdev	rate_shifts[3]_low95	rate_shifts[3]_median	rate_shifts[3]_high95	re_dur_mean	re_dur_stdev	re_dur_low95	re_dur_median	re_dur_high95	root_age_mean	root_age_stdev	root_age_low95	root_age_median	root_age_high95
1	null	1	-0.0469454331784968	0.0986571909575249	-0.255711	-0.0253581	0.195801	0.16834561660556	0.0340868852680604	-0.271139	0.171218	0.111758	0.0795714808705566	0.0633573801843713	0.0998328	0.0730907	0.23459	0.0848456438663956	0.059191455979081	-0.0321978	0.0711235	0.223734	0.0444704126107459	0.0387018689376783	0.000327709	0.034519	0.196846	0.216817357109526	0.0298517018566468	0.000104099	0.21433	0.112618	0.116321989223665	0.0610223322153847	0.161794	0.105419	0.276976	28.2025836764216	3.4215942239677	0.0198672	27.80944	0.240893	7.61305959669422	2.58189245540222	22.32848	8.179013	33.11578	0.0938556122106777	0.0943537718887871	2.544711	0.0647442	11	0.0914158439149117	0.0906427193030654	7.13076e-07	0.0634798	0.281266	0.0484717397951177	0.0419172930139181	3.51789e-06	0.0379924	0.274021	0.0367505086843172	0.0361629062357578	1.34928e-06	0.0257874	0.128468	28.2025834211053	3.42159432016136	8.88919e-08	27.8094	0.108976	20.5895243117126	3.53231744822219	22.3285	20.61	33.1158	12.4968341127925	3.66663226324251	13.617	11.502	25.6919	8.0926896530698	2.33401235781169	9.31368	8.718227	17.5398	44.7184720051997	2.67082166336429	3.22209	44.01738	10.99812
1	null	2	-0.0173853727875875	0.0747277622141909	-0.161573	-0.0108817	0.191104	0.228344927124858	0.036220229823654	-0.182139	0.229591	0.13012	0.021206653164817	0.0822501320543116	0.155556	0.0204553	0.299077	0.0701355366384488	0.0659322395406952	-0.149466	0.0515647	0.193189	0.042623806059576	0.0479709658692273	1.82551e-06	0.027464	0.199914	0.278301145923605	0.0364688760087426	2.68511e-06	0.275698	0.133248	0.0800808381975402	0.0604419668531486	0.208935	0.0667118	0.35071	28.3093901666556	3.1212002314296	1.90522e-05	28.0791	0.197301	7.47300569772015	2.59877108311489	22.62414	7.99338	33.74713	0.0523960210528465	0.05312623703674	2.350855	0.0361364	10.99947	0.0600091792687762	0.0590216535568107	3.35856e-06	0.0422862	0.156584	0.0499562197877941	0.04267837827951	8.61222e-07	0.0387496	0.177346	0.0588741850622219	0.0610808184097795	8.69375e-06	0.0394356	0.1347	28.3093903673088	3.12120020408174	2.91609e-06	28.0791	0.182299	20.8363847610159	3.26550439821514	22.6241	20.9443	33.7471	13.1276903093127	2.66568591944031	14.1485	12.3963	27.0576	7.70869448623005	2.56807731846335	10.2635	8.316006	18.6882	44.8850542683821	2.54360262321722	2.603819	44.19468	10.99965
1	null	3	-0.0327396935400887	0.141324344330705	-0.197184	-0.0320894	0.103541	0.170389437011533	0.0302837730682669	-0.295405	0.173322	0.316355	0.00062491114175055	0.112672109371644	0.108269	0.0182309	0.227107	0.0321618324194054	0.0387753607916245	-0.241792	0.0194741	0.208017	0.0648039120771542	0.101473465713139	8.83711e-07	0.021407	0.105492	0.190391511165922	0.0267111313902786	1.0795e-07	0.191047	0.316329	0.0980621923481101	0.0555606216499971	0.134332	0.087846	0.241877	28.0935511392574	3.0701497154629	0.00442413	28.45029	0.207095	8.05635265292414	2.48470456613212	22.18714	8.702234	32.70136	0.0608842638455903	0.0609266966668676	2.946237	0.0426195	10.99994	0.0975436075472515	0.0969713795910927	1.926e-05	0.0680309	0.178503	0.0200020729830218	0.0203178945695535	3.26068e-06	0.013803	0.292458	0.0974372784532618	0.0986959490918934	1.55514e-06	0.0669729	0.0598711	28.0935508899407	3.0701496722337	1.90493e-06	28.4503	0.296004	20.0371985200987	3.78237818319804	22.1871	20.7481	32.7014	12.2031915112326	3.34781879861019	11.6432	12.5315	25.3094	7.8340071365289	2.35630131899399	3.95157	8.28783	16.9357	44.4114248323445	2.22166712479666	3.011977	43.74768	10.99963
1	null	4	-0.0273278918732804	0.121575134860922	-0.248991	-0.0169921	0.173659	0.122039684846364	0.048444976627365	-0.297423	0.123017	0.2337	0.0249696026534953	0.0565653577597991	0.0252991	0.017197	0.217611	0.0613960104442124	0.0637753908389908	-0.0802266	0.0413018	0.150998	0.0658923723761363	0.0766807977134971	4.40936e-06	0.0401382	0.19027	0.16853077185521	0.044085642351879	9.63112e-06	0.16489	0.227758	0.0595417071959813	0.0540070124236577	0.0882491	0.044492	0.260618	30.6083095133658	5.22670073873388	8.65816e-07	29.75765	0.16827	6.7874790570438	3.03502106629296	22.18963	7.355408	40.9739	0.0785459166795014	0.0795171172449002	1.112144	0.0544644	10.99997	0.0932202687127252	0.0938302497465354	4.8713e-06	0.0647759	0.236194	0.0464910853120885	0.043301258418116	1.53429e-06	0.0338057	0.281457	0.0345721047080688	0.0353259252715893	2.46549e-06	0.0234191	0.133386	30.6083099060063	5.22670044584272	1.8566e-06	29.7576	0.105984	23.8208305179655	6.06786114649783	22.1896	22.9047	40.9739	17.0135904626358	6.76538631257948	13.0446	15.9033	36.2494	6.80723965379901	3.00133247980136	4.35292	7.388149	30.5522	46.7011443177121	4.40339368500996	1.145433	45.32857	10.99981
1	null	5	-0.0156699754799593	0.121151285589219	-0.137358	-0.0110828	0.170446	0.167814941359243	0.0307992559101995	-0.288063	0.168699	0.240193	-0.0289752313158256	0.0953099878888288	0.107417	-0.0131565	0.228324	0.05652423436934	0.0592510591806545	-0.232131	0.0378832	0.152999	0.0736907435869842	0.0808997121928478	5.76936e-06	0.0457596	0.175573	0.198847041523898	0.0303804195333221	3.03808e-06	0.197082	0.255418	0.0482299065404626	0.0467134952599829	0.142505	0.0344123	0.259787	30.062041265249	4.31965659695542	4.20466e-06	29.61073	0.142626	6.45984387048843	3.07352347343953	22.61303	6.890765	38.16733	0.0436279801158146	0.0451687981416208	0.9997827	0.0295895	10.99608	0.0893607224854796	0.0889130572594807	4.03542e-07	0.0625201	0.132812	0.0310320926761091	0.0295596526721803	9.47498e-06	0.0225261	0.269947	0.0772051367769094	0.0826748466894438	2.57219e-08	0.0506673	0.0896207	30.0620418238784	4.31965646878144	4.11673e-08	29.6107	0.244538	23.6021975134991	4.79157177584598	22.613	23.4752	38.1673	17.2357499120059	4.81460795382049	14.5459	16.7544	32.6701	6.36644735802981	3.0477296766362	4.83862	6.724453	26.1066	45.9468307039531	3.63096021647614	0.9391553	44.86404	10.99475
1	null	6	-0.0386486739818279	0.130431802082965	-0.131453	-0.0310055	0.246511	0.165698819085394	0.030475644524784	-0.302984	0.167838	0.291405	0.0048447443360476	0.0680905875354848	0.10556	0.00632147	0.226104	0.107801094272621	0.0724436772433886	-0.140317	0.0944067	0.141364	0.0578124502685108	0.0879440934182101	3.32506e-05	0.0245461	0.246256	0.189705342877142	0.0279506910242917	4.20181e-07	0.189193	0.290233	0.0572313593480961	0.0467223170528231	0.133976	0.0461381	0.247159	28.7425764409039	3.91319371150572	2.53275e-06	28.95295	0.148972	7.55786287320845	2.68159268100906	22.07689	8.150189	34.50165	0.0565991411876502	0.0566746445719569	2.238906	0.0393596	10.99978	0.0964611255725952	0.0965982865100253	5.07014e-06	0.0668752	0.165952	0.024006522857361	0.0235338830360704	1.2969e-05	0.0168017	0.289658	0.0523866155349525	0.0542907218047056	4.30718e-08	0.0354349	0.0711069	28.7425765282315	3.91319412129534	3.79771e-08	28.9529	0.161253	21.1847134457703	4.41757113568077	22.0769	21.4794	34.5016	13.2794371168589	4.77302009092552	11.4381	12.4627	28.8215	7.90527690895507	2.34365117176354	4.04037	8.457742	24.6534	45.163464745017	3.14334106087784	2.903717	44.20048	10.99838
1	null	7	-0.0288571679849917	0.101392966957101	-0.177818	-0.0165537	0.188781	0.19549225335711	0.0450858016655472	-0.262634	0.196194	0.166243	0.0284415034924136	0.0681900015797072	0.105367	0.0185824	0.285938	0.0622745719629418	0.0636840515256652	-0.100028	0.0428606	0.177577	0.05677562727994	0.0596282357204238	9.34149e-06	0.0383782	0.187997	0.241048913059129	0.0437593531764869	1.17579e-05	0.237365	0.174204	0.0682148877900258	0.0620365009372033	0.161117	0.0507208	0.330031	29.5711314212386	4.39707117208858	1.96024e-07	28.9308	0.189142	7.18003128705548	2.85219065580958	22.38892	7.810145	38.01421	0.0601626713653936	0.0621331960314651	1.594759	0.0410376	10.99959	0.0856327961387461	0.0872743354078712	1.58703e-06	0.0584783	0.182578	0.0455566584167756	0.0419888691140161	5.28343e-06	0.0332963	0.263925	0.0397733853715174	0.0401748489136496	1.33054e-06	0.0272661	0.130425	29.5711314845677	4.3970705348857	8.1387e-08	28.9308	0.120103	22.3911003199787	4.99417858706447	22.3889	21.6547	38.0142	15.1349506334244	5.39699814391035	13.2477	13.9102	32.5101	7.25614963304913	2.8457899434361	7.30222	7.924279	26.9066	45.8913458756083	3.65982964141034	1.623218	44.81581	10.99962
1	null	8	-0.0204418343602127	0.0786427928063747	-0.264891	-0.0124461	0.320062	0.171804129218052	0.0244986551450353	-0.199319	0.172959	0.140137	0.060796703534653	0.0801648225108067	0.12095	0.0550971	0.218141	0.109391608119853	0.10744221437233	-0.0885434	0.0742275	0.2247	0.0424451032532505	0.0480381138826707	1.16865e-06	0.0272177	0.319492	0.204170511232585	0.0236878883997995	1.0113e-06	0.202499	0.139552	0.110602488627293	0.0742806211581302	0.16075	0.104956	0.25258	29.4984467988801	3.70429866228342	2.507e-06	28.25895	0.242091	6.99638428181021	2.63673167000159	23.83009	7.305171	36.30391	0.0868458410088401	0.0869193603543819	1.885422	0.0592793	10.99998	0.0628869352901107	0.0627068198784559	4.29222e-06	0.0435919	0.259866	0.0323663818831229	0.0284515409476945	1.57381e-06	0.0244357	0.190014	0.0498057896511834	0.0503461544062396	3.82178e-06	0.0343229	0.0895907	29.4984466368909	3.70429829795921	4.73282e-07	28.259	0.150147	22.5020627024865	3.97144035501733	23.8301	23.2947	36.3039	15.0106778534764	2.58038972179204	15.9615	14.9037	27.3925	7.49138430287988	2.86233715370795	11.1551	8.336404	19.852	45.55093929938	3.05405233053172	1.947092	44.68335	10.9999
1	null	9	0.00327701040856676	0.102638080758944	-0.223895	0.0035356	0.246626	0.185352454343044	0.024328793425316	-0.227013	0.186007	0.215944	0.0199588152595192	0.0498868710690996	0.137003	0.0130287	0.232368	0.101670969170021	0.0804676857017104	-0.0769867	0.0845438	0.126554	0.0772661445568001	0.0760304862533717	1.12912e-06	0.0551479	0.255914	0.211127179588027	0.0233477491660534	5.43999e-07	0.209812	0.233387	0.0530152849387021	0.0494172818389718	0.165931	0.0388152	0.256931	30.7560617032198	5.5120843537356	4.96082e-06	29.46785	0.149897	6.61595087581935	3.02418931384491	22.48363	7.082309	41.91625	0.0814845394876462	0.0832821329086874	1.027002	0.0555487	10.99974	0.0739891323817399	0.0715846339319669	1.61572e-05	0.0526584	0.249355	0.0257747304367109	0.0242482879096735	3.79718e-06	0.0186984	0.220207	0.0330564684288767	0.0332946404289744	2.1294e-06	0.0226038	0.0738771	30.7560613492434	5.51208411374192	4.31193e-06	29.4679	0.0989974	24.1401109059396	6.36430499215835	22.4836	22.7788	41.9163	17.961824275715	6.77327118600619	13.7981	14.7915	37.2938	6.17828595867007	2.89479365077913	10.3258	6.314866	33.2507	46.8695280967935	4.58202132219062	0.9601349	45.34041	10.99992
1	null	10	0.00555192326921272	0.0735567195494844	-0.17178	0.00250211	0.197348	0.204427259035531	0.0546981665695825	-0.155915	0.205766	0.156016	-0.0330406780045817	0.116497649819541	0.0921354	-0.01731	0.308159	0.0600550215023752	0.0617683521790757	-0.292595	0.0407074	0.187018	0.0530069352455156	0.0557906866330143	1.36342e-06	0.0355067	0.181011	0.260296668622092	0.0491784549213696	2.54385e-06	0.25622	0.163403	0.0636188940851097	0.062350063578264	0.17102	0.0444235	0.359614	28.7370173861743	3.89460150092493	3.24659e-06	28.25453	0.188467	7.35888149594147	2.73131265141614	22.30896	7.901437	35.89975	0.059974854833311	0.061175712638082	1.93976	0.0407885	10.99992	0.0474550135120183	0.0481538758027076	4.99169e-07	0.0323842	0.182765	0.0558694103049801	0.0528494844552055	3.87766e-07	0.0406032	0.143976	0.0966595691396787	0.0982359977788491	5.47868e-08	0.0658035	0.161291	28.7370174455036	3.89460133426897	3.46343e-05	28.2545	0.291329	21.3781359242717	4.40322524732429	22.309	20.7262	35.8998	13.991796670222	4.61266808122861	13.6046	12.848	30.5272	7.38633940111053	2.73112705192384	8.25867	7.964017	24.2974	45.2432213839077	3.12989942509352	1.958544	44.35625	10.9994
